selcuk	셀축	Selcuk	TR	37.95	27.36666667	셀추크	
fethiye	페티예	Fethiye	TR	36.65138889	29.12305556	페티예	en 좌표
zaanse-schans	잔세스칸스	Zaanse Schans	NL	52.47388889	4.81638889	잔서스한스	en 좌표
arles	아를	Arles	FR	43.6767	4.6278	아를	
ica	이카	Ica, Peru	PE	-14.06666667	-75.73333333	이카_(페루)	en 좌표
pucon	푸콘	Pucon	CL	-39.27666667	-71.97444444	푸콘	en 좌표
san-pedro-de-atacama	산페드로데아타카마	San Pedro de Atacama	CL	-22.91666667	-68.2	산페드로데아타카마	en 좌표
valdivia	발디비아	Valdivia	CL	-39.813889	-73.245833	발디비아	
salta	살타	Salta	AR	-24.783333	-65.416667	살타	
el-calafate	엘칼라파테	El Calafate	AR	-50.33777778	-72.26	엘칼라파테	en 좌표
asuncion	아순시온	Asuncion	PY	-25.28222222	-57.635	아순시온	
copacabana-bo	코파카바나	Copacabana, Bolivia	BO	-16.16666667	-69.08333333	코파카바나_(볼리비아)	en 좌표
sucre	수크레	Sucre	BO	-19.05	-65.25	수크레	
positano	포지타노	Positano	IT	40.633333	14.483333	포시타노	
mont-saint-michel	몽생미셸	Mont-Saint-Michel	FR	48.636	-1.5114	몽생미셸섬	
foz-do-iguacu	포스두이구아수	Foz do Iguacu	BR	-25.55	-54.58333333	포스두이구아수	
niagara-falls	나이아가라폴스	Niagara Falls	CA	43.11666667	-79.06666667	나이아가라폴스_(온타리오주)	
vladivostok	블라디보스토크	Vladivostok	RU	43.13333333	131.9	블라디보스토크	
irkutsk	이르쿠츠크	Irkutsk	RU	52.28333333	104.28333333	이르쿠츠크	
